,I(600V),I(800V),I(1000V),DepV
34252_008,-7.618811e-07,-8.554496e-07,-9.540807e-07,1000.0
34253_037,-8.260925e-07,-9.577526e-07,-1.134051e-06,49.5959595959596
34254_025,-9.45139e-07,-9.842872e-07,-1.047186e-06,46.76767676767677
34330_2S_048,-4.063973e-07,-4.379865e-07,-4.669229e-07,366.6666666666667
34331_2S_042,-4.312622e-07,-4.682506e-07,-5.035494e-07,258.0
34340_040,-7.443021e-07,-8.740632e-07,-9.712266e-07,532.8282828282829
34340_039,-6.568588e-07,-7.417633e-07,-8.378972e-07,532.8282828282829
34341_012,-3.610157e-09,-4.207345e-09,-4.790787e-09,543.4343434343434
34341_041,-5.991605e-07,-6.62023e-07,-7.450266e-07,543.4343434343434
34343_036,-1.551208e-07,-2.783248e-07,-4.145614e-07,585.8585858585859
36696_039,-4.984294e-07,-6.485226e-07,-7.745095e-07,250.0
37398_012,-1.161751e-06,-1.364875e-06,-1.615183e-06,613.6363636363637
37399_049,-8.073273e-07,-9.604734e-07,-1.173591e-06,1000.0
