#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 100000Hz:4.297060E-12
#34253_037_PSS_XX_HM_IrradSensor_Interstrip
#Date/Time: 5/19/2021 3:55:52 PM
#Sensor Name: 34253_037_PSS_XX_HM_IrradSensor
#Type: P
#Annealing Status: 20 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3704299019.489815	2.270766	-20.000000	26.381769	-2.725500E-5	5.341400E-12	-3.772155E-7	-3.772155E-7	-3.788941E-7	-3.802849E-7	-3.809839E-7	-3.816017E-7
2	3704299052.341501	2.216899	-20.000000	26.391935	-2.721300E-5	5.397650E-12	-3.763934E-7	-3.773839E-7	-3.781841E-7	-3.788470E-7	-3.800615E-7	-3.820657E-7
3	3704299084.587005	2.197619	-20.000000	26.360288	-2.724300E-5	5.412120E-12	-3.758097E-7	-3.765050E-7	-3.771884E-7	-3.781126E-7	-3.791499E-7	-3.802601E-7
4	3704299117.550017	2.255249	-20.000000	26.359753	-2.713700E-5	5.416710E-12	-3.755221E-7	-3.763707E-7	-3.769319E-7	-3.779066E-7	-3.787754E-7	-3.795076E-7
5	3704299149.458991	2.222667	-20.000000	26.361021	-2.719300E-5	5.417500E-12	-3.915562E-7	-3.808763E-7	-3.779544E-7	-3.785026E-7	-3.792923E-7	-3.798905E-7
6	3704299181.570554	2.272803	-20.000000	26.399226	-2.719200E-5	5.417710E-12	-3.760518E-7	-3.768345E-7	-3.775228E-7	-3.783444E-7	-3.786846E-7	-3.798577E-7
7	3704299213.583485	2.273555	-20.000000	26.361278	-2.714500E-5	5.419550E-12	-3.776104E-7	-3.784378E-7	-3.782673E-7	-3.789300E-7	-3.796908E-7	-3.806713E-7
8	3704299245.633312	2.208664	-20.000000	26.380481	-2.712000E-5	5.426230E-12	-3.893464E-7	-3.796821E-7	-3.795390E-7	-3.801256E-7	-3.813031E-7	-3.838767E-7
9	3704299277.848798	2.230038	-20.000000	26.382582	-2.707300E-5	5.423140E-12	-6.629929E-7	-7.447911E-7	-7.273930E-7	-5.303396E-7	-3.933883E-7	-3.914609E-7
10	3704299309.750702	2.321671	-20.000000	26.374912	-2.710300E-5	5.420520E-12	-3.822674E-7	-3.828615E-7	-4.125698E-7	-3.810569E-7	-3.818992E-7	-3.828492E-7
11	3704299341.753236	2.229689	-20.000000	26.366847	-2.714000E-5	5.417850E-12	-3.844648E-7	-3.852080E-7	-3.869241E-7	-3.878007E-7	-3.894050E-7	-3.889123E-7
12	3704299373.788522	2.293222	-20.000000	26.346416	-2.715000E-5	5.417370E-12	-3.782226E-7	-3.791635E-7	-3.799740E-7	-3.809966E-7	-3.817449E-7	-3.827238E-7
13	3704299405.810731	2.322809	-20.000000	26.344771	-2.714700E-5	5.417850E-12	-3.832481E-7	-3.840617E-7	-3.847994E-7	-3.834915E-7	-3.842750E-7	-3.852316E-7
14	3704299437.804263	2.275995	-20.000000	26.339777	-2.715300E-5	5.417710E-12	-3.796584E-7	-3.801981E-7	-3.808251E-7	-3.817632E-7	-3.823020E-7	-3.829876E-7
15	3704299469.838842	2.181463	-20.000000	26.316177	-2.713200E-5	5.417440E-12	-3.794282E-7	-3.801665E-7	-3.809484E-7	-3.818350E-7	-3.824246E-7	-3.829483E-7
16	3704299501.839276	2.244145	-20.000000	26.319068	-2.712800E-5	5.417450E-12	-3.794983E-7	-3.803184E-7	-3.812105E-7	-3.818745E-7	-3.829058E-7	-3.837331E-7
17	3704299533.836479	2.268144	-20.000000	26.312431	-2.714000E-5	5.418540E-12	-3.799321E-7	-3.805959E-7	-3.813859E-7	-3.821934E-7	-3.828724E-7	-3.837040E-7
18	3704299565.840637	2.313540	-20.000000	26.287044	-2.712200E-5	5.417440E-12	-3.802665E-7	-3.811989E-7	-3.819653E-7	-3.826315E-7	-3.834125E-7	-3.840016E-7
19	3704299597.988165	2.257226	-20.000000	26.278662	-2.702200E-5	5.417410E-12	-3.804664E-7	-3.812898E-7	-3.821631E-7	-3.829327E-7	-3.837095E-7	-3.843864E-7
20	3704299629.862942	2.248233	-20.000000	26.263127	-2.712500E-5	5.417370E-12	-3.815487E-7	-3.839679E-7	-3.845563E-7	-3.845606E-7	-3.850603E-7	-3.924646E-7
