,I(600V),I(800V),I(1000V),DepV
34252_008,-2.375203e-09,-2.492794e-09,-2.705583e-09,279.29292929292933
34252_001,-3.418e-09,-3.59e-09,-3.887e-09,279.29292929292933
34252_018,-2.232897e-09,-2.360512e-09,-2.601987e-09,323.7373737373738
34253_049,-4.515e-09,-4.735e-09,-5.154e-09,234.84848484848487
34253_036,-4.284e-09,-4.495e-09,-4.922e-09,279.29292929292933
34253_037,-3.236e-09,-3.403e-09,-3.717e-09,295.4545454545455
34254_041,-3.876e-09,-4.031e-09,-4.343e-09,259.0909090909091
34254_014,-3.822e-09,-3.982e-09,-4.28e-09,299.49494949494954
34254_025,-3.914e-09,-4.116e-09,-4.42e-09,279.29292929292933
34330_2S_048,-2.28e-09,-2.42e-09,-2.69e-09,319.69696969696975
34330_2S_049,-1.261242e-09,-1.306035e-09,0.0,319.69696969696975
34331_2S_007,-1.497136e-09,-1.565586e-09,0.0,315.6565656565657
34331_2S_042,-1.331118e-09,-1.394546e-09,-1.459446e-09,291.41414141414145
34340_014,-2.639e-09,-2.767e-09,-2.978e-09,259.0909090909091
34340_040,-2.454e-09,-2.565e-09,-2.767e-09,230.80808080808083
34340_007,-3.365e-09,-3.52e-09,-3.804e-09,246.96969696969697
34340_039,-3.947e-09,-4.124e-09,-4.469e-09,251.010101010101
34341_012,-2.66e-09,-2.77e-09,-2.94e-09,267.1717171717172
34341_013,-3.426e-09,-3.574e-09,-3.818e-09,246.96969696969697
34341_038,-3.157e-09,-3.298e-09,-3.566e-09,226.7676767676768
34343_036,-1.985e-09,-2.08e-09,-2.258e-09,255.05050505050505
36696_039,-2.277e-09,-2.453e-09,-2.696e-09,319.69696969696975
36696_010,-2.46e-09,-2.643e-09,-2.895e-09,319.69696969696975
36697_036,-2.18e-09,-2.33e-09,-2.58e-09,319.69696969696975
36697_011,-2.24e-09,-2.41e-09,-2.64e-09,327.7777777777778
37398_012,-2.59e-09,-2.78e-09,-3.03e-09,279.29292929292933
37398_001,-2.89e-09,-3.09e-09,-3.36e-09,279.29292929292933
37399_049,-2.25e-09,-2.42e-09,-2.65e-09,291.41414141414145
37399_033,-2.32e-09,-2.47e-09,-2.71e-09,271.21212121212125
