,I(600V),I(800V),I(1000V),DepV
34252_009,0.0,0.0,0.0,255.05050505050505
34252_008,-1.925517e-09,-1.992964e-09,-2.302985e-09,255.05050505050505
34252_018,-4.469329e-09,-4.691838e-09,-5.819292e-09,295.4545454545455
34253_049,-2.545836e-09,-2.648591e-09,-3.083608e-09,255.05050505050505
34253_036,-3.233431e-10,-3.417998e-10,-3.979713e-10,251.010101010101
34253_037,-4.66618e-10,-4.831665e-10,-5.139638e-10,251.010101010101
34254_041,-3.168557e-10,-3.315292e-10,-3.647809e-10,255.05050505050505
34254_014,-7.822019e-10,-8.110718e-10,-8.989366e-10,255.05050505050505
34254_025,-3.641983e-10,-3.856108e-10,-4.390573e-10,255.05050505050505
34330_2S_048,-2.208093e-10,-2.36409e-10,-2.853448e-10,295.4545454545455
34330_2S_049,-2.155081e-10,-2.248638e-10,-2.348291e-10,291.41414141414145
34331_2S_007,-2.536235e-10,-2.660165e-10,-2.806336e-10,295.4545454545455
34331_2S_042,-2.469296e-10,-2.592284e-10,-2.898212e-10,271.21212121212125
34340_014,-2.133553e-10,-2.282534e-10,-2.64221e-10,234.84848484848487
34340_040,0.0,0.0,0.0,234.84848484848487
34340_007,-3.217037e-10,-3.386138e-10,-3.783879e-10,238.8888888888889
34340_039,-3.308848e-10,-3.501926e-10,-3.9968e-10,238.8888888888889
34341_024,-2.470172e-10,-2.523485e-10,-2.608099e-10,238.8888888888889
34341_012,-2.610739e-10,-2.740454e-10,-3.049828e-10,230.80808080808083
34341_041,-2.42e-10,0.0,0.0,234.84848484848487
34341_013,-4.698153e-10,-4.890191e-10,-5.414736e-10,238.8888888888889
34341_038,-4.618515e-10,-4.81584e-10,-5.389919e-10,234.84848484848487
34343_015,-2.52373e-10,-2.632856e-10,-2.802903e-10,242.92929292929296
34343_036,-2.264322e-10,-2.365367e-10,-2.525979e-10,242.92929292929296
36696_039,-3.283572e-10,-3.587268e-10,-4.118625e-10,295.4545454545455
36696_010,-3.673148e-10,-3.995173e-10,-4.585963e-10,295.4545454545455
36697_036,-3.391081e-10,-3.653685e-10,-4.110215e-10,299.49494949494954
36697_011,-3.591283e-10,-3.861699e-10,-4.258136e-10,299.49494949494954
37398_012,-4.062692e-10,-4.400346e-10,-5.015012e-10,259.0909090909091
37398_001,-4.825213e-10,-5.203783e-10,-5.756493e-10,251.010101010101
37399_049,-3.93196e-10,-4.257539e-10,-4.913245e-10,259.0909090909091
37399_033,-3.865326e-10,-4.180942e-10,-4.853262e-10,255.05050505050505
